First Name,Last Name,Family,Type,Start Indoors,Transplant,Start Outdoors,Fall Start Indoors,Fall Transplant,Fall Start Outdoors,Last Day to Plant,Days to Germination,Germination Temps (F),Plant Spacing (inches),Row Spacing (inches),Seed Depth (inches),Days to Harvest,Light,Soil,Water,Pruning,Perennial,Determinate,Description,Created At,Updated At
Artichoke,Green Globe,Asteraceae,Thistle,Feb 1,May 30,,,,,,10-21,65-75,18,4,1/4,150,Full,,,,TRUE,,"120 days. The original improved artichoke, Green Globe flowers in early summer. The flower buds are deep green with a light purple tinge. A good harvest of 3–4 heads can be expected throughout the summer. They are 3–5 inches in diameter and have thick, flavorful hearts. Proven to be the most hardy and remain productive for at least 5 years. Hardy in zone 7 and above.",,
Arugula,Roquette,Brassicacae,Leaf,,,April 15,,,Aug 1,,5-7,50-70,6,,1/4,40,Full/Partial,,Heavy,,FALSE,,"At maturity the long, dark green, lobed leaves form a loose, open bunch. Easy to grow, baby or full size.",,
Asparagus,Millennium,Liliaceae,,Jan 26,Mar 23,May 30,Jul 4,Aug 8,Jul 4,,10-14,70-75,12,12,1/2,,Full,Normal,Moderate,,TRUE,,"Enjoy succulent spears that grow back each year. Proven to out-yield other varieties! Hardy, well-adapted plants do well even in heavier soils. 'Millennium' asparagus is flavorful, tender and delicious any way you prepare it. Perennial in zones 3-8.",,
Basil,Aroma II,Lamiaceae,Herb,,May 30,May 30,,,,,5-10,65-70,4,18,1/4,68,Full,Rich,Heavy,,FALSE,,"A good choice for greenhouse or field production. Classic basil appearance, with glossy dark-green, 3"" long leaves, long stems, and traditional aroma. Intermediate resistance to Fusarium wilt.",,
Basil,Red Rubin,Lamiaceae,Herb,,May 30,May 30,,,,,5-10,65-70,6,,1/4,72,Full,Rich,Moderate,,FALSE,,"One of the most consistently deep purple leaves of all basils, with almost no green. A fine traditional flavor and aroma, along with beautiful lavender flowers, make this basil an outstanding culinary and ornamental variety. A must in the herb garden. It makes a dramatic display in the flower garden as well.",,
Beans,Bush Hickok,Fabaceae,Bush,,,May 30,,,,,8-16,60-85,2,18,1,60,Full,Normal,Heavy,,FALSE,,"55-65 days. The pinnacle in quality and flavor! Hickok’s straight, 6 inch long, deep green, stringless beans taste very fresh and sweet with floral overtones and a mellow green bean flavor. Healthy, uniform, 20 inch tall plants provide a strong canopy of foliage to protect the beans, which hang down under the leaves for easy picking by the handfuls. Very productive over a long harvest season.",,
Blackberry,,Rosaceae,,,,,,,,,,,,,,,,,Heavy,,TRUE,,,,
Blueberry,?,Cyanococcus,,,,,,,,,,,,,,,,,Heavy,,TRUE,,,,
Blueberry,Northland Highbush,Cyanococcus,,,,,,,,,,,,,,,,,Heavy,,TRUE,,,,
Broccoli,Emerald Crown F1,Brassicacae,Leaf,Feb 1,,May 30,,,August 1,,5-17,55-75,12,18,1/4,65,Full,Well Drained,Heavy,,FALSE,,"Large, well-domed heads with a fine bead. Best for crown cut. Resists purpling in cold weather, which makes Emerald Crown an excellent choice for fall crops. Widely adapted; performs well on both coasts and in the Midwest and Southeast. Emerald Crown has been our best-performing variety for fall production on the East Coast",,
